dt,Q
2020-11-01,371920.896
2020-11-02,363356.928
2020-11-03,352346.11199999996
2020-11-04,343782.14400000003
2020-11-05,333994.75200000004
2020-11-06,321760.512
2020-11-07,313196.544
2020-11-08,305856.0
2020-11-09,298515.456
2020-11-10,291174.912
2020-11-11,285057.792
2020-11-12,280164.096
2020-11-13,272823.552
2020-11-14,267929.856
2020-11-15,263036.16
2020-11-16,256919.04
2020-11-17,250801.92
2020-11-18,245908.22400000002
2020-11-19,243583.7184
2020-11-20,239424.07680000004
2020-11-21,235019.75040000002
2020-11-22,230248.39680000002
2020-11-23,226333.44
2020-11-24,223152.5376
2020-11-25,218625.8688
2020-11-26,214710.91199999998
2020-11-27,210673.6128
2020-11-28,207003.34079999998
2020-11-29,202843.6992
2020-11-30,198928.7424
2020-12-01,193912.70400000003
2020-12-02,190120.0896
2020-12-03,185348.73600000003
2020-12-04,181923.14880000002
2020-12-05,176907.1104
2020-12-06,171768.7296
2020-12-07,168220.80000000002
2020-12-08,165039.8976
2020-12-09,161247.2832
2020-12-10,158555.7504
2020-12-11,156475.92960000003
2020-12-12,152928.0
2020-12-13,151215.20640000002
2020-12-14,149502.4128
2020-12-15,147422.592
2020-12-16,145465.1136
2020-12-17,144119.34720000002
2020-12-18,142651.2384
2020-12-19,141305.472
2020-12-20,139225.6512
2020-12-21,137635.2
2020-12-22,134698.9824
2020-12-23,132863.8464
2020-12-24,130416.99840000001
2020-12-25,128704.20479999999
2020-12-26,126379.6992
2020-12-27,124544.5632
2020-12-28,121975.37280000001
2020-12-29,120874.2912
2020-12-30,119528.5248
2020-12-31,118060.41600000001
2021-01-01,116469.96480000002
2021-01-02,114879.51359999999
2021-01-03,113166.72
2021-01-04,110964.5568
2021-01-05,109374.1056
2021-01-06,108028.3392
2021-01-07,106315.5456
2021-01-08,104725.0944
2021-01-09,103256.9856
2021-01-10,101788.8768
2021-01-11,100687.7952
2021-01-12,99219.6864
2021-01-13,97873.92
2021-01-14,97139.86560000002
2021-01-15,96650.49600000001
2021-01-16,96038.78400000001
2021-01-17,95304.7296
2021-01-18,94815.36
2021-01-19,94325.99040000001
2021-01-20,93836.62080000002
2021-01-21,93347.25120000003
2021-01-22,92613.1968
2021-01-23,92123.82720000001
2021-01-24,91756.8
2021-01-25,91389.7728
2021-01-26,90900.40320000002
2021-01-27,90411.0336
2021-01-28,89799.32160000001
2021-01-29,89187.60960000001
2021-01-30,88820.5824
2021-01-31,88453.5552
2021-02-01,88086.52799999999
2021-02-02,87964.18560000001
2021-02-03,87474.816
2021-02-04,86985.44640000002
2021-02-05,86496.0768
2021-02-06,86006.7072
2021-02-07,85517.3376
2021-02-08,85027.96800000001
2021-02-09,84538.5984
2021-02-10,84293.9136
2021-02-11,84049.2288
2021-02-12,83804.54400000001
2021-02-13,83559.85920000002
2021-02-14,83437.51680000001
2021-02-15,83192.83200000001
2021-02-16,83070.48960000002
2021-02-17,82825.8048
2021-02-18,82581.12
2021-02-19,82458.77760000002
2021-02-20,82091.7504
2021-02-21,81847.0656
2021-02-22,81724.72320000001
2021-02-23,81602.3808
2021-02-24,81235.35360000002
2021-02-25,80868.3264
2021-02-26,80378.9568
2021-02-27,79889.58720000001
2021-02-28,79400.2176
2021-03-01,78543.82080000002
2021-03-02,78176.7936
2021-03-03,77687.424
2021-03-04,76953.3696
2021-03-05,76341.6576
2021-03-06,75974.63040000001
2021-03-07,75607.6032
2021-03-08,75240.576
2021-03-09,74751.20640000001
2021-03-10,74628.864
2021-03-11,74506.5216
2021-03-12,74017.15200000002
2021-03-13,73772.4672
2021-03-14,73405.44
2021-03-15,73405.44
2021-03-16,73405.44
2021-03-17,73405.44
2021-03-18,73405.44
2021-03-19,73405.44
2021-03-20,73405.44
2021-03-21,73405.44
2021-03-22,73405.44
2021-03-23,73405.44
2021-03-24,73405.44
2021-03-25,73405.44
2021-03-26,73405.44
2021-03-27,73405.44
2021-03-28,73405.44
2021-03-29,73405.44
2021-03-30,73405.44
2021-03-31,73405.44
2021-04-01,73405.44
2021-04-02,73405.44
2021-04-03,73405.44
2021-04-04,73405.44
2021-04-05,73405.44
2021-04-06,73405.44
2021-04-07,73405.44
2021-04-08,73527.7824
2021-04-09,74506.5216
2021-04-10,75362.9184
2021-04-11,76831.0272
2021-04-12,78666.1632
2021-04-13,80745.98400000001
2021-04-14,82948.1472
2021-04-15,84783.28319999999
2021-04-16,86740.76160000001
2021-04-17,88820.5824
2021-04-18,91267.4304
2021-04-19,93714.27840000001
2021-04-20,95427.07200000001
2021-04-21,97384.55040000001
2021-04-22,98607.9744
2021-04-23,100687.7952
2021-04-24,103379.32800000001
2021-04-25,106315.54560000003
2021-04-26,108150.6816
2021-04-27,111453.9264
2021-04-28,114634.82880000002
2021-04-29,117938.0736
2021-04-30,124055.19360000001
2021-05-01,127603.12320000002
2021-05-02,136778.8032
2021-05-03,145954.48320000002
2021-05-04,167242.06079999998
2021-05-05,192811.6224
2021-05-06,221317.40159999995
2021-05-07,267929.856
2021-05-08,335218.176
2021-05-09,448996.608
2021-05-10,593360.6399999999
2021-05-11,794002.176
2021-05-12,1092517.632
2021-05-13,1460768.2560000003
2021-05-14,1869391.8720000002
2021-05-15,2457858.816
2021-05-16,4220812.800000001
2021-05-17,8404922.88
2021-05-18,10607086.08
2021-05-19,6681642.788571429
2021-05-20,6378881.76
2021-05-21,8265248.640000001
2021-05-22,12060411.84
2021-05-23,8834395.679999996
2021-05-24,7102231.199999999
2021-05-25,9409404.960000003
2021-05-26,12291078.240000004
2021-05-27,13454860.320000006
2021-05-28,10485508.319999995
2021-05-29,7721589.600000003
2021-05-30,7695846.7200000025
2021-05-31,9646188.479999999
2021-06-01,7897456.800000003
2021-06-02,4980864.960000003
2021-06-03,3880802.8799999994
2021-06-04,4206539.519999999
2021-06-05,4111469.2800000017
2021-06-06,3909604.320000004
2021-06-07,5224020.480000002
2021-06-08,6716342.88
2021-06-09,6355432.8
2021-06-10,11316926.879999999
2021-06-11,9173640.96
2021-06-12,6371745.120000005
2021-06-13,6431387.039999997
2021-06-14,10698588.000000002
2021-06-15,19188385.919999998
2021-06-16,12302547.840000004
2021-06-17,8463800.160000004
2021-06-18,8192862.7200000025
2021-06-19,7304351.040000001
2021-06-20,6901130.879999998
2021-06-21,5984582.400000003
2021-06-22,4761413.279999998
2021-06-23,4464732.96
2021-06-24,4476202.560000003
2021-06-25,5348147.039999999
2021-06-26,6606744.480000001
2021-06-27,5072876.6400000015
2021-06-28,4607465.759999999
2021-06-29,29107805.759999998
2021-06-30,48967545.59999997
2021-07-01,31882174.560000017
2021-07-02,16422937.92
2021-07-03,11385896.117468357
2021-07-04,9451080.551489366
2021-07-05,11217468.271304345
2021-07-06,11501215.851789484
2021-07-07,11598824.16
2021-07-08,10962139.342978721
2021-07-09,9578615.488831174
2021-07-10,8067559.522191779
2021-07-11,7604890.971428571
2021-07-12,6984913.078356164
2021-07-13,6104111.44101266
2021-07-14,5302319.616
2021-07-15,4698647.259428571
2021-07-16,4172917.051914897
2021-07-17,4317090.949565217
2021-07-18,6507585.428210522
2021-07-19,6295580.326956519
2021-07-20,11758966.37217391
2021-07-21,19013283.36
2021-07-22,14127233.76
2021-07-23,10193670.719999999
2021-07-24,7880481.791999999
2021-07-25,9007459.200000003
2021-07-26,15625673.280000005
2021-07-27,16432878.239999996
2021-07-28,25012648.799999997
2021-07-29,57894342.77647059
2021-07-30,39518001.43448277
2021-07-31,28164240.000000007
2021-08-01,32372308.800000016
2021-08-02,23152279.68000001
2021-08-03,24242146.560000006
2021-08-04,16221327.84
2021-08-05,11654897.760000004
2021-08-06,8759715.840000005
2021-08-07,7035197.760000001
2021-08-08,6036323.040000003
2021-08-09,5254860.960000001
2021-08-10,4679851.6800000025
2021-08-11,4172385.600000004
2021-08-12,3734501.760000002
2021-08-13,3445977.599999998
2021-08-14,3672311.040000001
2021-08-15,4214695.679999993
2021-08-16,4031182.0800000047
2021-08-17,3706210.0800000005
2021-08-18,3436037.2800000007
2021-08-19,3188293.919999999
2021-08-20,3002486.400000001
2021-08-21,2858479.2000000016
2021-08-22,3575456.64
2021-08-23,4931418.240000004
2021-08-24,5460804.000000002
2021-08-25,5093267.039999998
2021-08-26,5515093.439999998
2021-08-27,5636416.3199999975
2021-08-28,10930783.679999998
2021-08-29,17499551.040000007
2021-08-30,14519748.96
2021-08-31,11400527.52
2021-09-01,9514415.52
2021-09-02,7873243.2
2021-09-03,6834862.080000003
2021-09-04,7037491.680000003
2021-09-05,6780572.640000001
2021-09-06,6212190.240000001
2021-09-07,6168350.880000004
2021-09-08,8566771.680000003
2021-09-09,10483469.280000001
2021-09-10,8325145.440000003
2021-09-11,7952255.999999998
2021-09-12,8012152.799999996
2021-09-13,7513097.76
2021-09-14,6691619.520000002
2021-09-15,5963172.480000002
2021-09-16,5543385.119999996
2021-09-17,5008901.76
2021-09-18,4566939.840000003
2021-09-19,4235340.960000002
2021-09-20,3890743.2000000007
2021-09-21,3576985.9200000013
2021-09-22,3206900.1599999997
2021-09-23,2828148.4800000004
2021-09-24,2536514.783999999
2021-09-25,2362278.816000002
2021-09-26,2504348.928000001
2021-09-27,2366051.04
2021-09-28,2061042.664186048
2021-09-29,1862917.92
2021-09-30,1773900.4092631575
2021-10-01,1701980.1104516126
2021-10-02,1704331.5840000012
2021-10-03,1598590.7147755104
2021-10-04,1549339.0560000008
2021-10-05,1521047.3760000013
2021-10-06,1502797.9680000008
2021-10-07,1441244.4479999992
2021-10-08,1340260.9919999994
2021-10-09,1205354.968615384
2021-10-10,1060790.1696000004
2021-10-11,1015441.9199999999
2021-10-12,910227.456
2021-10-13,867407.6159999999
2021-10-14,835598.592
2021-10-15,811130.1120000001
2021-10-16,786661.6320000001
2021-10-17,752405.7600000001
2021-10-18,723043.584
2021-10-19,696128.256
2021-10-20,670436.3520000001
2021-10-21,637403.904
2021-10-22,609265.152
2021-10-23,587243.5200000001
2021-10-24,557881.344
2021-10-25,532189.4400000001
2021-10-26,513838.08
2021-10-27,495486.72
2021-10-28,474688.51200000005
2021-10-29,460007.42400000006
2021-10-30,441656.064
